Material 1,Dicke1 (mm),Material 2,Dicke2 (mm),Test,Elektrokraft (kN),Strom (kA),Stromzeit (ms),Ergebnis,,
DP600,2,DP980,1.25,Scher,2,8.5,400,15.534631,,
DP980,1.25,DP980,1.25,Scher,1.5,6.5,200,13.266591,,
DP980,1.25,DP980,1.25,Scher,1.5,6.5,400,12.893849,,
DP980,1.25,DP980,1.25,Scher,1.5,7.5,300,12.113618,,
DP980,1.25,DP980,1.25,Scher,1.5,8.5,200,11.011186,,
DP980,1.25,DP980,1.25,Scher,1.5,8.5,400,13.401993,,
DP980,1.25,DP980,1.25,Scher,1.75,6.5,300,9.849198,,
DP980,1.25,DP980,1.25,Scher,1.75,7.5,200,10.57076,,
DP980,1.25,DP980,1.25,Scher,1.75,7.5,300,14.77141,,
DP980,1.25,DP980,1.25,Scher,1.75,7.5,400,13.462439,,
DP980,1.25,DP980,1.25,Scher,1.75,8.5,300,12.9839261,,
DP980,1.25,DP980,1.25,Scher,2,6.5,200,16.23905,,
DP980,1.25,DP980,1.25,Scher,2,6.5,400,15.310354,,
DP980,1.25,DP980,1.25,Scher,2,7.5,300,13.013885,,
DP980,1.25,DP980,1.25,Scher,2,8.5,200,14.725971,,
DP980,1.25,DP980,1.25,Scher,2,8.5,400,14.305846,,
DP980,1.25,DP600,2,Scher,1.5,6.5,200,12.308238,,
DP980,1.25,DP600,2,Scher,1.5,6.5,400,13.761672,,
DP980,1.25,DP600,2,Scher,1.5,7.5,300,14.119968,,
DP980,1.25,DP600,2,Scher,1.5,8.5,200,14.801782,,
DP980,1.25,DP600,2,Scher,1.5,8.5,400,14.381658,,
DP980,1.25,DP600,2,Scher,1.75,6.5,300,12.334736,,
DP980,1.25,DP600,2,Scher,1.75,7.5,200,14.523805,,
DP980,1.25,DP600,2,Scher,1.75,7.5,300,15.200082,,
DP980,1.25,DP600,2,Scher,1.75,7.5,400,13.844657,,
DP980,1.25,DP600,2,Scher,1.75,8.5,300,15.544107,,
DP980,1.25,DP600,2,Scher,2,6.5,200,13.121285,,
DP980,1.25,DP600,2,Scher,2,6.5,400,14.580664,,
DP980,1.25,DP600,2,Scher,2,7.5,300,15.250336,,
DP980,1.25,DP600,2,Scher,2,8.5,200,14.99763,,
DP980,1.25,DP600,2,Scher,2,8.5,400,15.534631,,
