Material 1,Dicke1 (mm),Material 2,Dicke2 (mm),Test,Elektrokraft (kN),Strom (kA),Stromzeit (ms),Ergebnis,,
DP600,2,DP600,2,Kopf,2.5,10,500,15.53779,,
DP600,2,DP980,1.25,Kopf,1.5,6.5,200,5.454804,,
DP600,2,DP980,1.25,Kopf,1.5,6.5,400,6.6418248,,
DP600,2,DP980,1.25,Kopf,1.5,7.5,300,5.52114,,
DP600,2,DP980,1.25,Kopf,1.5,8.5,200,5.461122,,
DP600,2,DP980,1.25,Kopf,1.5,8.5,400,5.546411,,
DP600,2,DP980,1.25,Kopf,1.75,6.5,300,6.500377,,
DP600,2,DP980,1.25,Kopf,1.75,7.5,200,7.321673,,
DP600,2,DP980,1.25,Kopf,1.75,7.5,300,7.606121,,
DP600,2,DP980,1.25,Kopf,1.75,7.5,400,7.068967,,
DP600,2,DP980,1.25,Kopf,1.75,8.5,300,4971503,,
DP600,2,DP980,1.25,Kopf,2,6.5,200,5.641175,,
DP600,2,DP980,1.25,Kopf,2,6.5,400,8.888453,,
DP600,2,DP980,1.25,Kopf,2,7.5,300,5.543252,,
DP600,2,DP980,1.25,Kopf,2,8.5,200,7.413279,,
DP600,2,DP980,1.25,Kopf,2,8.5,400,5.461122,,
DP980,1.25,DP980,1.25,Kopf,1.5,6.5,200,5.821229,,
DP980,1.25,DP980,1.25,Kopf,1.5,6.5,400,5.977999,,
DP980,1.25,DP980,1.25,Kopf,1.5,7.5,300,6.036029,,
DP980,1.25,DP980,1.25,Kopf,1.5,8.5,200,5.827546,,
DP980,1.25,DP980,1.25,Kopf,1.5,8.5,400,6.206605,,
DP980,1.25,DP980,1.25,Kopf,1.75,6.5,300,6.162041,,
DP980,1.25,DP980,1.25,Kopf,1.75,7.5,200,6.291894,,
DP980,1.25,DP980,1.25,Kopf,1.75,7.5,300,6.58266,,
DP980,1.25,DP980,1.25,Kopf,1.75,7.5,400,5.644334,,
DP980,1.25,DP980,1.25,Kopf,1.75,8.5,300,6.582507,,
DP980,1.25,DP980,1.25,Kopf,2,6.5,200,6.374024,,
DP980,1.25,DP980,1.25,Kopf,2,6.5,400,6.62673,,
DP980,1.25,DP980,1.25,Kopf,2,7.5,300,5.46311,,
DP980,1.25,DP980,1.25,Kopf,2,8.5,200,6.620413,,
DP980,1.25,DP980,1.25,Kopf,2,8.5,400,6.727813,,
DP980,1.25,DP600,2,Kopf,1.5,6.5,200,5.454804,,
DP980,1.25,DP600,2,Kopf,1.5,6.5,400,6.6418248,,
DP980,1.25,DP600,2,Kopf,1.5,7.5,300,5.52114,,
DP980,1.25,DP600,2,Kopf,1.5,8.5,200,5.461122,,
DP980,1.25,DP600,2,Kopf,1.5,8.5,400,5.546411,,
DP980,1.25,DP600,2,Kopf,1.75,6.5,300,6.500377,,
DP980,1.25,DP600,2,Kopf,1.75,7.5,200,7.321673,,
DP980,1.25,DP600,2,Kopf,1.75,7.5,300,7.606121,,
DP980,1.25,DP600,2,Kopf,1.75,7.5,400,7.068967,,
DP980,1.25,DP600,2,Kopf,1.75,8.5,300,4971503,,
DP980,1.25,DP600,2,Kopf,2,6.5,200,5.641175,,
DP980,1.25,DP600,2,Kopf,2,6.5,400,8.888453,,
DP980,1.25,DP600,2,Kopf,2,7.5,300,5.543252,,
DP980,1.25,DP600,2,Kopf,2,8.5,200,7.413279,,
DP980,1.25,DP600,2,Kopf,2,8.5,400,5.461122,,
